"theDate","opening","opening","highest","lowest","closing","volume","marketcap","CoinSymbol","CoinDesc"
"2019-02-01",107.147683721,107.147683721,165.549627498,102.934560657,136.746252009,4535438953.17,14365118212.57,"ETH",""
"2019-02-01",0.0407998868,0.0407998868,0.0686973529,0.0367846403,0.0580273682,587.54,3966472,"SNX",""
"2019-02-01",0.0247550274,0.0247550274,0.0326015324,0.014642848,0.02560535,87871.46,1493635.32,"SOUL",""
"2019-02-01",0.019297489,0.019297489,0.0256753122,0.0169421414,0.0203702095,5654.32,5814265.23,"TRAC",""
"2019-02-01",1.0117652244,1.0117652244,1.037757876,0.9986583461,1.0136727933,31630078.72,234118357,"USDC",""
"2019-02-01",0.00066593851617,0.00066593851617,0.00078315380509,0.00047056860925,0.00062670404681,281936.66,2428932.26,"XDC",""
"2019-02-01",0.3791724513,0.3791724513,0.4644262197,0.3598231391,0.4100303336,3289302.93,249088934.11,"XTZ",""
"2019-02-04",0.00321125233676,0.00321125233676,0.00469308113653,0.00310503048717,0.00379871905021,353774.1,4824373.19,"FTM",""
"2019-02-11",0.00378945393346,0.00378945393346,0.00401711996719,0.00336736196156,0.00398140344157,222164.06,5056382.37,"FTM",""
"2019-02-18",0.00403360983184,0.00403360983184,0.00476457772983,0.00385052473887,0.00390616869913,412175.77,4960834.25,"FTM",""
"2019-02-25",0.00388985465632,0.00388985465632,0.00405660248317,0.00374825087675,0.00394351776485,458785.34,5008267.56,"FTM",""
"2019-03-01",0.0431118803,0.0431118803,0.0737117932,0.0398301948,0.0697461128,67772020.27,1808312386.75,"ADA",""
"2019-03-01",132.075426232,132.075426232,177.730904898,123.252815105,168.937546241,454369901.47,2990730945.18,"BCH",""
"2019-03-01",10.3569312874,10.3569312874,17.5683406535,10.3256339366,17.4016701115,199990282.71,2456689309.02,"BNB",""
"2019-03-01",2.0922919579,2.0922919579,3.5695729558,1.3718703845,2.505153337,505.02,995297.42,"ERG",""
"2019-03-01",136.836239742,136.836239742,149.613229156,125.402704805,141.514094106,4249050197.37,14925533136.91,"ETH",""
"2019-03-01",0.0571972238,0.0571972238,0.0600031519,0.040891693,0.0468348146,14416.09,3364083,"SNX",""
"2019-03-01",0.0255773636,0.0255773636,0.0454035007,0.0207189175,0.0384648849,318042.54,2243769.78,"SOUL",""
"2019-03-01",0.0204538928,0.0204538928,0.0386097139,0.019197199,0.0337113024,16069.31,9622210.97,"TRAC",""
"2019-03-01",1.0131166326,1.0131166326,1.0491488767,0.9929548656,1.0014944265,24262614.98,246270111,"USDC",""
"2019-03-01",0.00062637811637,0.00062637811637,0.00068708996505,0.00049384232854,0.00052887685695,544552.72,2049781.02,"XDC",""
"2019-03-01",0.4097464633,0.4097464633,1.0991511477,0.3979500129,1.0598568772,8951420.66,704639139.18,"XTZ",""
"2019-03-04",0.0039691047238,0.0039691047238,0.00670847149905,0.003737656201,0.00669916496393,650294.39,8507939.5,"FTM",""
"2019-03-11",0.00668041206738,0.00668041206738,0.00773298301815,0.00604681482276,0.00728016242044,3255270.16,9245806.27,"FTM",""
"2019-03-18",0.00726310928657,0.00726310928657,0.0113871535,0.00708802102436,0.00988660357337,4127345.44,12555986.54,"FTM",""
"2019-03-25",0.00986129741669,0.00986129741669,0.0153709179,0.0093542874309,0.011648359,3782511.64,14793415.92,"FTM",""
"2019-04-01",0.0696513793,0.0696513793,0.0999581124,0.0642035832,0.0703457068,62990602.22,1823858101.45,"ADA",""
"2019-04-01",168.899082037,168.899082037,342.870039656,167.087395646,267.758146984,1761938029.46,4754698560.18,"BCH",""
"2019-04-01",17.4106383476,17.4106383476,25.5334085745,16.5892174312,22.1278355654,190326179.46,3123908033.94,"BNB",""
"2019-04-01",2.5064993219,2.5064993219,2.6763463491,0.9390996223,1.1500406035,1299.12,456911.13,"ERG",""
"2019-04-01",141.46548345,141.46548345,184.377848837,140.737559069,162.166037089,6275803460,17170110492.62,"ETH",""
"2019-04-01",0.0116467101,0.0116467101,0.0169858883,0.0114058924,0.0168440873,7537556.37,21391990.89,"FTM",""
"2019-04-01",0.0465832828,0.0465832828,0.1042945338,0.0461315971,0.0748250996,63063.41,5640544,"SNX",""
"2019-04-01",0.0385054434,0.0385054434,0.0979354741,0.0358282852,0.0379115956,687244.62,2211494.79,"SOUL",""
"2019-04-01",0.0336973452,0.0336973452,0.0592284153,0.032441318,0.0354260198,50407.09,10111642.46,"TRAC",""
"2019-04-01",1.0013937788,1.0013937788,1.0248551971,0.9891502803,1.0153044691,81415438.18,296148387,"USDC",""
"2019-04-01",0.0005286484938,0.0005286484938,0.00095659189623,0.00045741563046,0.00064287940872,1486228.78,2491623.51,"XDC",""
"2019-04-01",1.0574411425,1.0574411425,1.4910396997,0.8567779443,1.2192773747,4954874.7,805480416.21,"XTZ",""
"2019-04-08",0.0168520767,0.0168520767,0.0176268134,0.0105415685,0.0113609668,3197344.14,14428427.78,"FTM",""
"2019-04-15",0.0113609668,0.0113609668,0.011589773,0.00898143802223,0.0101632558,3471906.15,12907334.83,"FTM",""
"2019-04-22",0.0101434785,0.0101434785,0.0106941249,0.00834846520672,0.00893719708759,3240872.23,16209024.32,"FTM",""
"2019-04-29",0.00896198332903,0.00896198332903,0.0101960573,0.00860007465051,0.00903303623532,3105254.4,16382843.81,"FTM",""
"2019-04-29",0.00441775409087,0.00441775409087,0.00507753660829,0.00345778595502,0.00374695100348,3467564.42,0,"MATIC",""
"2019-05-01",0.070338025,0.070338025,0.1004016346,0.0591055842,0.0894414947,136542078.61,2318955942.15,"ADA",""
